"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Lyon][exterieur][Température] °C"
"2018-05-11 12:00:00";;20,5;19,15
"2018-05-11 13:00:00";;20,5;19,75
"2018-05-11 14:00:00";;20,575;20,425
"2018-05-11 15:00:00";;20,65;21,1
"2018-05-11 16:00:00";;20,7;21,6
"2018-05-11 17:00:00";;20,775;21,7
"2018-05-11 18:00:00";;20,8;21,6
"2018-05-11 19:00:00";;20,8;21,375
"2018-05-11 20:00:00";;20,8;21,05
"2018-05-11 21:00:00";;20,85;20,725
"2018-05-11 22:00:00";;20,9;20,575
"2018-05-11 23:00:00";;20,9;20,275
"2018-05-12 00:00:00";;20,9;20,05
"2018-05-12 01:00:00";;20,9;19,9
"2018-05-12 02:00:00";;20,9;19,575
"2018-05-12 03:00:00";;20,9;19,275
"2018-05-12 04:00:00";;20,9;18,975
"2018-05-12 05:00:00";;20,9;18,45
"2018-05-12 06:00:00";;20,9;17,975
"2018-05-12 07:00:00";;20,825;17,875
"2018-05-12 08:00:00";;20,8;17,975
"2018-05-12 09:00:00";;20,8;18,625
"2018-05-12 10:00:00";;20,75;19,5
"2018-05-12 11:00:00";;20,75;20,625
"2018-05-12 12:00:00";;20,8;21,8
"2018-05-12 13:00:00";;20,9;22,875
"2018-05-12 14:00:00";;20,9;23,425
"2018-05-12 15:00:00";;20,9;23,425
"2018-05-12 16:00:00";;20,9;23,15
"2018-05-12 17:00:00";;20,9;22,95
"2018-05-12 18:00:00";;20,9;22,725
"2018-05-12 19:00:00";;20,925;22,35
"2018-05-12 20:00:00";;21;21,9
"2018-05-12 21:00:00";;21;20,75
"2018-05-12 22:00:00";;21;18,075
"2018-05-12 23:00:00";;20,95;17,2
"2018-05-13 00:00:00";;20,9;17,125
"2018-05-13 01:00:00";;20,875;16,95
"2018-05-13 02:00:00";;20,775;16,45
"2018-05-13 03:00:00";;20,7;15,75
"2018-05-13 04:00:00";;20,575;15,15
"2018-05-13 05:00:00";;20,475;15,025
"2018-05-13 06:00:00";;20,35;14,875
"2018-05-13 07:00:00";;20,225;14,9
"2018-05-13 08:00:00";;20,15;14,575
"2018-05-13 09:00:00";;20,05;14,3
"2018-05-13 10:00:00";;19,95;14,35
"2018-05-13 11:00:00";;19,9;14,425
"2018-05-13 12:00:00";;19,8;14,3
"2018-05-13 13:00:00";;19,7;14,3
