,dateTime,Ouverture,Chamb_Temp,Chamb_CO2,Lyon_Temp,Temp_1H
0,0,0.0,20.26,940.8,-6.300000000000001,-0.08500000000000085
1,3600,0.0,20.175,1063.25,-6.425000000000001,-0.25
2,7200,0.0,19.925,1082.0,-6.275,-0.125
3,10800,0.0,19.8,1066.0,-6.125,-0.1999999999999993
4,14400,0.0,19.6,1062.25,-5.975000000000001,-0.02500000000000213
5,18000,0.0,19.575,1135.5,-6.074999999999999,0.3249999999999993
6,21425,0.0,19.575,1135.5,-6.074999999999999,0.0
7,21600,0.0,19.9,1059.75,-6.499999999999998,0.20000000000000284
8,25200,0.0,20.1,1054.0,-6.700000000000001,0.2749999999999986
9,28800,0.0,20.375,1136.5,-6.85,0.10000000000000142
10,32400,0.0,20.475,933.0,-6.850000000000001,-0.375
11,36000,0.0,20.1,681.5,-6.025000000000002,-0.9500000000000028
12,39600,0.0,19.15,498.25,-4.299999999999999,0.375
13,40942,1.0,19.15,498.25,-4.299999999999999,0.0
14,43200,1.0,19.525,641.5,-4.149999999999999,0.1750000000000007
15,46800,1.0,19.7,646.25,-3.7249999999999996,-0.07499999999999929
16,50400,1.0,19.625,673.25,-3.3500000000000014,-0.10000000000000142
17,54000,1.0,19.525,769.5,-2.799999999999997,0.07500000000000284
18,57600,1.0,19.6,898.25,-2.625,-0.02500000000000213
19,61200,1.0,19.575,1045.5,-2.724999999999998,0.07499999999999929
20,64800,1.0,19.65,950.0,-3.1499999999999986,-0.25
21,68400,1.0,19.4,871.5,-3.4499999999999993,-0.02499999999999858
22,72000,1.0,19.375,750.0,-3.8249999999999993,0.14999999999999858
23,75600,1.0,19.525,677.25,-4.424999999999999,0.25
24,79200,1.0,19.775,648.25,-4.974999999999998,0.20000000000000284
25,82800,1.0,19.975,609.0,-5.600000000000001,0.17499999999999716
26,0,1.0,20.15,1030.25,-6.149999999999999,-0.25
27,3600,1.0,19.9,1142.25,-6.424999999999999,-0.17499999999999716
28,7200,1.0,19.725,1109.25,-6.625000000000002,-0.1750000000000007
29,10800,1.0,19.55,1136.0,-6.825000000000001,-0.1999999999999993
30,14400,1.0,19.35,1128.5,-6.950000000000001,0.07499999999999929
31,18000,1.0,19.425,1096.25,-7.350000000000001,0.3249999999999993
32,21600,1.0,19.75,936.25,-8.2,0.14999999999999858
33,25200,1.0,19.9,852.0,-8.599999999999998,0.02500000000000213
34,28800,1.0,19.925,670.5,-8.65,0.05000000000000071
35,32400,1.0,19.975,601.75,-8.275000000000002,-0.1750000000000007
36,36000,1.0,19.8,581.666667,-7.4,-0.4250000000000007
37,39600,1.0,19.375,534.75,-5.275,0.0
38,43200,1.0,19.375,595.75,-3.5749999999999993,-0.07499999999999929
39,46800,1.0,19.3,566.0,-1.4750000000000014,0.0
40,50400,1.0,19.3,547.75,-0.15000000000000213,0.02499999999999858
41,54000,1.0,19.325,519.25,0.875,0.1750000000000007
